Theta1,Theta2,Theta3,U,V,R,X,Y,Z
25,120,70,106,114,11,175.0,37.5,221.2
25,120,75,106,112,17,174.4,24.3,316.1
25,125,50,118,124,10,165.5,29.2,194.4
25,125,55,,,,,,
25,125,60,86,44,11,238.6,55.7,221.2
25,125,65,,,,,,
25,125,70,,,,,,
25,125,75,,,,,,
25,130,50,114,110,11,178.6,30.2,221.2
25,130,55,108,102,11,185.9,35.7,221.2
25,130,60,108,92,10,197.5,39.2,194.4
25,130,65,,,,,,
25,130,70,100,92,12,192.9,39.4,243.6
25,130,75,,,,,,
25,135,50,112,100,11,187.7,32.0,221.2
25,135,55,112,96,10,193.5,35.2,194.4
25,135,60,108,92,12,192.9,32.7,243.6
25,135,65,,,,,,
25,135,70,,,,,,
25,135,75,,,,,,
25,140,50,114,94,13,189.6,25.6,262.6
25,140,55,110,86,11,200.5,33.9,221.2
25,140,60,108,84,11,202.3,35.7,221.2
25,140,65,,,,,,
25,140,70,,,,,,
25,140,75,,,,,,
25,145,50,112,86,12,197.9,29.4,243.6
25,145,55,106,76,11,209.5,37.5,221.2
25,145,60,,,,,,
25,145,65,104,72,11,213.2,39.3,221.2
25,145,70,,,,,,
25,145,75,,,,,,
25,150,50,88,196,17,125.0,34.9,316.1
25,150,55,102,64,12,216.2,37.7,243.6
25,150,60,,,,,,
25,150,65,120,206,18,122.0,15.1,325.8
25,150,70,,,,,,
25,150,75,,,,,,
25,155,50,108,70,11,215.0,35.7,221.2
25,155,55,120,192,19,131.9,14.3,334.4
25,155,60,,,,,,
25,155,65,120,196,19,129.8,14.3,334.4
25,155,70,94,48,12,229.6,44.4,243.6
25,155,75,,,,,,
30,90,50,146,196,12,106.3,1.0,243.6
30,90,55,,,,,,
30,90,60,120,112,11,176.8,24.8,221.2
30,90,65,118,110,12,177.9,24.4,243.6
30,90,70,114,104,12,182.9,27.7,243.6
30,90,75,136,192,13,114.3,8.7,262.6
30,95,50,144,190,12,111.3,2.7,243.6
30,95,55,120,110,12,177.9,22.7,243.6
30,95,60,116,106,11,182.3,28.4,221.2
30,95,65,116,102,12,184.6,26.0,243.6
30,95,70,,,,,,
30,95,75,132,184,12,116.3,12.7,243.6
30,100,50,142,178,11,116.8,4.8,221.2
30,100,55,116,98,11,189.5,28.4,221.2
30,100,60,116,96,11,191.4,28.4,221.2
30,100,65,112,92,11,195.0,32.0,221.2
30,100,70,108,86,12,197.9,32.7,243.6
30,100,75,108,84,13,197.3,30.2,262.6
30,105,50,140,170,16,138.5,4.5,305.2
30,105,55,134,158,12,137.9,11.0,243.6
30,105,60,112,82,12,201.2,29.4,243.6
30,105,65,110,74,10,215.5,37.2,194.4
